brand,model_name,ram_raw,ram_gb_parsed,storage_raw,storage_gb_parsed,chipset,battery_raw,screen_size_inch,refresh_rate_hz,main_camera_mp,front_camera_mp,has_5g,release_year,price_vnd,product_url,collected_at
Tecno,Tecno Pova Curve 2 5G 8GB,8 GB,8.0,128GB,128.0,,,6.78 inch,,50.0 MP,,1,,9990000,https://fptshop.com.vn/dien-thoai/tecno-pova-curve-2?sku=00929246,2026-08-07T14:41:42.802807
Apple,iPhone 17e,512GB,512.0,512 GB,512.0,,26 Giờ,6.1 inch,,,,0,,23490000,https://fptshop.com.vn/dien-thoai/iphone-17e?sku=00926265,2026-08-07T14:41:46.303589
Samsung,Samsung Galaxy A36 5G,8 GB,8.0,128GB,128.0,,,6.7 inch,,50.0 MP,,1,,7540000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a36,2026-08-07T14:41:51.514309
Oppo,OPPO A5i Pro 8GB,8 GB,8.0,128GB,128.0,,,6.67 inch,,50.0 MP,,0,,6290000,https://fptshop.com.vn/dien-thoai/oppo-a5i-pro?sku=00920168,2026-08-07T14:42:07.206063
Oppo,OPPO A5i 6GB,6 GB,6.0,128GB,128.0,,,6.67 inch,,8.0 MP,,0,,4490000,https://fptshop.com.vn/dien-thoai/oppo-a5i-6gb?sku=00920640,2026-08-07T14:42:09.789599
Tecno,Tecno Pova 7 8GB,8 GB,8.0,256GB,256.0,,,6.78 inch,,108.0 MP,,0,,4890000,https://fptshop.com.vn/dien-thoai/tecno-pova-7?sku=00919827,2026-08-07T14:42:16.996384
Samsung,Samsung Galaxy S26 Ultra 5G 16GB,16 GB,16.0,1TB,1.0,,,6.9 inch,,50.0 MP,,1,,41990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-ultra-16gb?sku=00925448,2026-08-07T14:42:20.262135
Samsung,Samsung Galaxy Z Fold8 5G 16GB,16 GB,16.0,1TB,1.0,,,8 inch,,50.0 MP,,1,,61990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8-16gb,2026-08-07T14:42:28.582663
Xiaomi,Xiaomi 17 Ultra 5G 16GB,16 GB,16.0,1TB,1.0,,,6.9 inch,,50.0 MP,,1,,35990000,https://fptshop.com.vn/dien-thoai/xiaomi-17-ultra-5g-16gb?sku=00925849,2026-08-07T14:42:31.413371
Tecno,Tecno Spark Go 3 4GB,4 GB,4.0,64GB,64.0,,,6.7 inch,,8.0 MP,,0,,2990000,https://fptshop.com.vn/dien-thoai/tecno-spark-go-3?sku=00927604,2026-08-07T14:42:40.161230
Nubia,Nubia Neo 5 5G 8GB,8 GB,8.0,128GB,128.0,,,6.8 inch,,50.0 MP,,1,,6990000,https://fptshop.com.vn/dien-thoai/nubia-neo-5,2026-08-07T14:42:42.268148
Samsung,Samsung Galaxy A07,4 GB,4.0,128GB,128.0,,,6.7 inch,,50.0 MP,,0,,3990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a07,2026-08-07T14:42:48.453212
Samsung,Samsung Galaxy Z Flip8 5G 12GB,12 GB,12.0,256GB,256.0,,,6.9 inch,,50.0 MP,,1,,31990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip8,2026-08-07T14:42:51.363939
Inoi,INOI 244 Modern Plus 4G,64 GB,64.0,64 GB,64.0,,1200 mAh,2.4 inch,,,,0,,449000,https://fptshop.com.vn/dien-thoai/inoi-244-modern-plus-4g,2026-08-07T14:42:53.988989
Xiaomi,Xiaomi Poco F8 Pro 5G 12GB,12 GB,12.0,256GB,256.0,,,6.59 inch,,,,1,,15990000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-f8-pro,2026-08-07T14:42:56.451445
Apple,iPhone 15,512GB,512.0,128 GB,128.0,,20 Giờ,6.1 inch,,,,0,,17990000,https://fptshop.com.vn/dien-thoai/iphone-15?sku=00904214,2026-08-07T14:43:00.907988
Oppo,OPPO Reno16 F 5G 8GB,8 GB,8.0,256GB,256.0,,,6.57 inch,,50.0 MP,,1,,15990000,https://fptshop.com.vn/dien-thoai/oppo-reno16-f,2026-08-07T14:43:26.236123
Samsung,Samsung Galaxy Z Fold8 Ultra 5G 16GB,16 GB,16.0,1TB,1.0,,,8 inch,,50.0 MP,,1,,67990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8-ultra-16gb,2026-08-07T14:43:28.866996
Samsung,Samsung Galaxy S25 Edge 5G,12 GB,12.0,256GB,256.0,,,6.7 inch,,200.0 MP,,1,,20450000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-edge,2026-08-07T14:43:36.830762
Apple,iPhone 17e,256GB,256.0,256 GB,256.0,,26 Giờ,6.1 inch,,,,0,,17490000,https://fptshop.com.vn/dien-thoai/iphone-17e,2026-08-07T14:43:39.617023
Apple,iPhone 16e,128GB,128.0,512 GB,512.0,,21 Giờ,6.1 inch,,,,0,,19990000,https://fptshop.com.vn/dien-thoai/iphone-16e?sku=00916025,2026-08-07T14:43:43.027744
Oppo,OPPO A6 Pro 8GB,8 GB,8.0,128GB,128.0,,,6.57 inch,,50 MP,,0,,8290000,https://fptshop.com.vn/dien-thoai/oppo-a6-pro,2026-08-07T14:43:45.489835
Masstel,Masstel Fami 25 4G,64 GB,64.0,64 GB,64.0,,1400 mAh,1.77 inch,,,,0,,680000,https://fptshop.com.vn/dien-thoai/masstel-fami-25-4g,2026-08-07T14:43:48.679967
Xiaomi,Xiaomi Poco M8 Pro 5G 12GB,12 GB,12.0,512GB,512.0,,,6.83 inch,,50.0 MP,,1,,10990000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m8-pro?sku=00925509,2026-08-07T14:43:54.329153
Samsung,Samsung Galaxy Z Flip7 5G,12 GB,12.0,512GB,512.0,,,6.9 inch,,50 MP,,1,,26990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip7?sku=00919892,2026-08-07T14:44:05.933663
Xiaomi,Xiaomi Redmi Note 15 Pro 12GB,12 GB,12.0,256GB,256.0,,,6.77 inch,,,,0,,9290000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15-pro,2026-08-07T14:44:11.396069
Mobell,Mobell M139 4G,,,,,,1000 mAh,1.77 inch,,,,0,,339000,https://fptshop.com.vn/dien-thoai/mobell-m139-4g,2026-08-07T14:44:14.238788
Tecno,Tecno Spark 40C 8GB,8 GB,8.0,256GB,256.0,,,6.67 inch,,13.0 MP,,0,,3490000,https://fptshop.com.vn/dien-thoai/tecno-spark-40c?sku=00921120,2026-08-07T14:44:17.647676
Oppo,OPPO Reno14 5G 12GB,12 GB,12.0,256GB,256.0,,,6.59 inch,,50.0 MP,,1,,15200000,https://fptshop.com.vn/dien-thoai/oppo-reno14,2026-08-07T14:44:20.576388
Masstel,Masstel Izi 16 4G,32 GB,32.0,,,,1000 mAh,1.77 inch,,,,0,,390000,https://fptshop.com.vn/dien-thoai/masstel-izi-16-4g,2026-08-07T14:44:40.003469
Apple,iPhone 16,512GB,512.0,512 GB,512.0,,8 GB,6.1 inch,,,,0,,27490000,https://fptshop.com.vn/dien-thoai/iphone-16-512gb?sku=00911201,2026-08-07T14:44:54.344224
Samsung,Samsung Galaxy Z Flip7 5G,12 GB,12.0,256GB,256.0,,,6.9 inch,,50 MP,,1,,22990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip7,2026-08-07T14:44:57.208464
Apple,iPhone 17 Pro,12 GB,12.0,1 TB,1.0,,12 GB,6.3 inch,,,,0,,43990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-1tb,2026-08-07T14:45:16.265811
Samsung,Samsung Galaxy A57 5G 8GB,8 GB,8.0,128GB,128.0,,,6.7 inch,,50 MP,,1,,11490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a57,2026-08-07T14:45:21.543243
