brand,model_name,ram_gb,storage_gb,screen_size_inch,has_5g,main_camera_mp,price_vnd,product_url,collected_at
Tecno,Tecno Spark 30 8GB,8.0,128.0,6.78,,64.0,3190000,https://fptshop.com.vn/dien-thoai/tecno-spark-30-8gb,2026-08-07T14:34:29.323691
Oppo,OPPO Reno15 F 5G 8GB,8.0,256.0,6.57,1.0,50.0,11990000,https://fptshop.com.vn/dien-thoai/oppo-reno15-f,2026-08-07T14:34:32.517278
Oppo,Oppo A6C 4GB,4.0,64.0,6.75,0.0,13.0,4690000,https://fptshop.com.vn/dien-thoai/oppo-a6c,2026-08-07T14:34:35.976862
Honor,Honor X5b Plus 4GB,4.0,128.0,6.56,0.0,13.0,2440000,https://fptshop.com.vn/dien-thoai/honor-x5b-plus,2026-08-07T14:34:38.462155
Xiaomi,Xiaomi Redmi Note 15 5G 6GB,6.0,128.0,6.77,1.0,,6790000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15-5g,2026-08-07T14:34:41.183256
Samsung,Samsung Galaxy A56 5G,8.0,128.0,6.7,1.0,50.0,9310000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a56?sku=00916571,2026-08-07T14:34:43.748140
Apple,iPhone 16 Plus,8.0,128.0,6.7,,,24990000,https://fptshop.com.vn/dien-thoai/iphone-16-plus,2026-08-07T14:34:46.924871
Samsung,Samsung Galaxy Z Fold7 5G,12.0,256.0,8.0,1.0,200.0,39990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold7?sku=00919910,2026-08-07T14:34:49.279872
Samsung,Samsung Galaxy A17 5G,8.0,128.0,6.7,1.0,50.0,6490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a17-5g?sku=00920680,2026-08-07T14:34:53.739554
Oppo,OPPO A6 Pro 8GB,8.0,256.0,6.57,,50.0,9990000,https://fptshop.com.vn/dien-thoai/oppo-a6-pro?sku=00922203,2026-08-07T14:34:58.350793
Samsung,Samsung Galaxy A27 5G 6GB,6.0,128.0,6.7,1.0,50.0,7490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a27?sku=00929307,2026-08-07T14:35:01.630342
Oppo,OPPO Reno12 5G 12GB,12.0,256.0,6.7,1.0,50.0,9990000,https://fptshop.com.vn/dien-thoai/oppo-reno12,2026-08-07T14:35:05.282756
Xiaomi,Xiaomi Poco M8 Pro 5G 8GB,8.0,256.0,6.83,1.0,50.0,9490000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m8-pro-8gb?sku=00925511,2026-08-07T14:35:08.472347
Xiaomi,Xiaomi Redmi Note 15 6GB,6.0,128.0,6.77,,108.0,5590000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15,2026-08-07T14:35:18.419402
Honor,Honor 600 5G 12GB,12.0,256.0,6.57,1.0,200.0,17090000,https://fptshop.com.vn/dien-thoai/honor-600-12gb?sku=00928791,2026-08-07T14:35:20.758338
Oppo,OPPO Find N3 5G 16GB,16.0,512.0,7.82,1.0,48.0,26990000,https://fptshop.com.vn/dien-thoai/oppo-find-n3?sku=00904505,2026-08-07T14:35:28.354486
Nubia,Nubia Air 5G 8GB,8.0,256.0,6.78,1.0,50.0,5490000,https://fptshop.com.vn/dien-thoai/nubia-air?sku=00922514,2026-08-07T14:35:31.441073
Oppo,OPPO A6T 4GB,4.0,64.0,6.75,0.0,13.0,4990000,https://fptshop.com.vn/dien-thoai/oppo-a6t,2026-08-07T14:35:37.391314
Oppo,OPPO Reno12 F 5G 8GB,8.0,256.0,6.67,1.0,50.0,6990000,https://fptshop.com.vn/dien-thoai/oppo-reno12-f,2026-08-07T14:35:40.354483
Xiaomi,Xiaomi 17T 5G 12GB,12.0,512.0,6.59,1.0,50.0,18990000,https://fptshop.com.vn/dien-thoai/xiaomi-17t,2026-08-07T14:35:42.627625
Honor,Honor X9c 5G 12GB,12.0,256.0,6.78,1.0,108.0,7290000,https://fptshop.com.vn/dien-thoai/honor-x9c,2026-08-07T14:35:45.555226
Xiaomi,Xiaomi Redmi 17 6GB,6.0,256.0,6.9,,50.0,7090000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-17,2026-08-07T14:35:51.717688
Nubia,Nubia A76 4GB (NFC),4.0,128.0,6.75,0.0,50.0,2890000,https://fptshop.com.vn/dien-thoai/nubia-a76,2026-08-07T14:35:54.600118
Apple,iPhone 16 Plus,8.0,512.0,6.7,,,29990000,https://fptshop.com.vn/dien-thoai/iphone-16-plus-512gb?sku=00911159,2026-08-07T14:35:57.495990
Oppo,Oppo A6T Pro 8GB,8.0,128.0,6.75,,50.0,9220000,https://fptshop.com.vn/dien-thoai/oppo-a6t-pro,2026-08-07T14:35:59.480806
Oppo,OPPO Reno14 F 5G 8GB,8.0,256.0,6.57,1.0,50.0,9800000,https://fptshop.com.vn/dien-thoai/oppo-reno14-f?sku=00919217,2026-08-07T14:36:06.070050
Itel,Itel P55 Plus NFC 8GB,8.0,256.0,6.6,,50.0,3490000,https://fptshop.com.vn/dien-thoai/itel-p55-plus-nfc?sku=00929758,2026-08-07T14:36:12.611400
Oppo,OPPO Find X9 5G 16GB,16.0,512.0,6.59,1.0,50.0,26990000,https://fptshop.com.vn/dien-thoai/oppo-find-x9-5g-16gb,2026-08-07T14:36:17.422586
Apple,iPhone Air,12.0,512.0,6.5,,,29990000,https://fptshop.com.vn/dien-thoai/iphone-air-512gb,2026-08-07T14:36:19.966798
Honor,Honor X5c Plus 4GB,4.0,64.0,6.74,0.0,50.0,3590000,https://fptshop.com.vn/dien-thoai/honor-x5c-plus,2026-08-07T14:36:26.435918
Honor,Honor Magic V5 5G 16GB,16.0,512.0,7.95,1.0,50.0,39990000,https://fptshop.com.vn/dien-thoai/honor-magic-v5?sku=00922176,2026-08-07T14:36:29.401402
Samsung,Samsung Galaxy A37 5G 8GB,8.0,128.0,6.7,1.0,50.0,9990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a37?sku=00926834,2026-08-07T14:36:34.902089
Apple,iPhone 17,8.0,256.0,6.3,,,23990000,https://fptshop.com.vn/dien-thoai/iphone-17,2026-08-07T14:36:38.268556
Samsung,Samsung Galaxy S25 FE 5G,8.0,512.0,6.7,1.0,50.0,17990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-fe?sku=00921500,2026-08-07T14:36:42.246502
Oppo,OPPO Find N6 5G 16GB,16.0,512.0,8.12,1.0,,64990000,https://fptshop.com.vn/dien-thoai/oppo-find-n6,2026-08-07T14:36:45.181634
Apple,iPhone 16e SIM Viettel,,128.0,6.1,,,13690000,https://fptshop.com.vn/dien-thoai/iphone-16e-sim-viettel,2026-08-07T14:36:58.738015
Benco,Benco V90 Plus 4GB,4.0,64.0,6.56,0.0,13.0,2490000,https://fptshop.com.vn/dien-thoai/benco-v90-plus,2026-08-07T14:37:02.288210
Honor,Honor 600 5G 8GB,8.0,256.0,6.57,1.0,200.0,16190000,https://fptshop.com.vn/dien-thoai/honor-600,2026-08-07T14:37:05.393718
Honor,Honor X5c 4GB,4.0,64.0,6.74,0.0,50.0,3290000,https://fptshop.com.vn/dien-thoai/honor-x5c?sku=00926823,2026-08-07T14:37:08.101414
Xiaomi,Xiaomi Poco C71 4GB,4.0,128.0,6.88,0.0,32.0,2950000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-c71?sku=00918991,2026-08-07T14:37:15.581795
Nubia,Nubia V70 Design 8GB,8.0,128.0,6.7,,50.0,3990000,https://fptshop.com.vn/dien-thoai/nubia-v70-design?sku=00916394,2026-08-07T14:37:18.112412
Honor,Honor X8d 8GB,8.0,128.0,6.77,,108.0,7190000,https://fptshop.com.vn/dien-thoai/honor-x8d,2026-08-07T14:37:20.331004
Samsung,Samsung Galaxy A06 5G,4.0,128.0,6.7,1.0,50.0,3620000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a06?sku=00916568,2026-08-07T14:37:25.635414
Oppo,OPPO Reno13 F 8GB,8.0,256.0,6.67,,50.0,7990000,https://fptshop.com.vn/dien-thoai/oppo-reno13-f?sku=00913796,2026-08-07T14:37:31.928555
Xiaomi,Xiaomi Redmi A7 Pro 4GB (NFC),4.0,128.0,6.9,0.0,13.0,3890000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-a7-pro,2026-08-07T14:37:36.717333
Benco,Benco S1 Pro 8GB,8.0,256.0,6.8,,64.0,3790000,https://fptshop.com.vn/dien-thoai/benco-s1-pro,2026-08-07T14:37:39.695920
Xiaomi,Xiaomi 15T 5G 12GB,12.0,512.0,6.83,1.0,,13490000,https://fptshop.com.vn/dien-thoai/xiaomi-15t,2026-08-07T14:37:45.113881
Honor,Honor Play 10 4GB,4.0,128.0,6.74,0.0,13.0,4090000,https://fptshop.com.vn/dien-thoai/honor-play-10-4gb,2026-08-07T14:37:49.085121
Xiaomi,Xiaomi Redmi 13x 8GB 128GB,8.0,128.0,6.79,,108.0,3990000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-13x,2026-08-07T14:37:52.491909
Samsung,Samsung Galaxy S26 Plus 5G 12GB,12.0,512.0,6.7,1.0,50.0,29590000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-plus?sku=00925436,2026-08-07T14:37:55.663867
Tecno,Tecno Spark 30 5G 6GB,6.0,128.0,6.67,1.0,108.0,3810000,https://fptshop.com.vn/dien-thoai/tecno-spark-30,2026-08-07T14:37:59.381277
REDMAGIC,REDMAGIC 11 Pro 5G 12GB,12.0,256.0,6.85,1.0,50.0,19990000,https://fptshop.com.vn/dien-thoai/redmagic-11-pro,2026-08-07T14:38:02.410647
Nubia,Nubia Neo 5 Max 8GB,8.0,256.0,7.5,,50.0,8790000,https://fptshop.com.vn/dien-thoai/nubia-neo-5-max,2026-08-07T14:38:04.799567
Xiaomi,Xiaomi Redmi 17 5G 4GB,4.0,128.0,6.9,1.0,50.0,6090000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-17-5g,2026-08-07T14:38:09.779810
Nubia,Nubia Neo 5 Max 8GB,8.0,512.0,7.5,,50.0,9790000,https://fptshop.com.vn/dien-thoai/nubia-neo-5-max?sku=00929573,2026-08-07T14:38:20.613218
Samsung,Samsung Galaxy Z Fold8 Ultra 5G 12GB,12.0,256.0,8.0,1.0,50.0,52990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8-ultra,2026-08-07T14:38:23.851447
Xiaomi,Xiaomi Poco M7 Pro 5G 8GB,8.0,256.0,6.67,1.0,,5990000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m7-pro?sku=00920479,2026-08-07T14:38:26.950952
Nubia,Nubia Fold 5G 12GB,12.0,256.0,8.0,1.0,,29990000,https://fptshop.com.vn/dien-thoai/nubia-fold,2026-08-07T14:38:29.509797
Samsung,Samsung Galaxy A17,8.0,128.0,6.7,,50.0,5990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a17?sku=00920685,2026-08-07T14:38:33.084804
Honor,Honor X9d 5G 12GB,12.0,256.0,6.79,1.0,108.0,10790000,https://fptshop.com.vn/dien-thoai/honor-x9d-12gb?sku=00924091,2026-08-07T14:38:35.710737
Samsung,Samsung Galaxy S26 Plus 5G 12GB,12.0,256.0,6.7,1.0,50.0,23490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-plus,2026-08-07T14:38:38.742706
Samsung,Samsung Galaxy S26 Ultra 5G 12GB,12.0,256.0,6.9,1.0,50.0,31990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-ultra?sku=00925453,2026-08-07T14:38:42.329191
Xiaomi,Xiaomi Redmi 15 5G 8GB,8.0,128.0,6.9,1.0,50.0,5990000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15?sku=00923582,2026-08-07T14:38:46.381232
Xiaomi,Xiaomi 15T Pro 5G 12GB,12.0,512.0,6.83,1.0,,17490000,https://fptshop.com.vn/dien-thoai/xiaomi-15t-pro,2026-08-07T14:38:57.386328
Apple,iPhone 16e,,256.0,6.1,,,16990000,https://fptshop.com.vn/dien-thoai/iphone-16e?sku=00916022,2026-08-07T14:38:59.755883
Apple,iPhone 17 Pro Max,12.0,512.0,6.9,,,41490000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-max-512gb?sku=00921805,2026-08-07T14:39:03.126657
Apple,iPhone 17 Pro Max,12.0,256.0,6.9,,,34990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-max,2026-08-07T14:39:06.532070
Xiaomi,Xiaomi Redmi 15C 4GB,4.0,128.0,6.9,0.0,50.0,4390000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15c,2026-08-07T14:39:15.430447
Samsung,Samsung Galaxy S26 5G 12GB,12.0,512.0,6.3,1.0,50.0,26490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26?sku=00925474,2026-08-07T14:39:21.176090
Nubia,Nubia V80 Design 4GB,4.0,128.0,6.75,0.0,50.0,3690000,https://fptshop.com.vn/dien-thoai/nubia-v80-design-4gb?sku=00928420,2026-08-07T14:39:26.319140
Honor,Honor X6c 6GB,6.0,128.0,6.61,,,4490000,https://fptshop.com.vn/dien-thoai/honor-x6c,2026-08-07T14:39:28.538740
Oppo,Oppo Find X9 Ultra 5G 12GB,12.0,512.0,6.82,1.0,200.0,49990000,https://fptshop.com.vn/dien-thoai/oppo-find-x9-ultra?sku=00928166,2026-08-07T14:39:43.757418
Nubia,Nubia Neo 5 5G 8GB,8.0,256.0,6.8,1.0,50.0,7990000,https://fptshop.com.vn/dien-thoai/nubia-neo-5?sku=00927796,2026-08-07T14:39:50.715745
Honor,Honor X7d 8GB,8.0,256.0,6.77,,108.0,6290000,https://fptshop.com.vn/dien-thoai/honor-x7d?sku=00922801,2026-08-07T14:39:54.319657
Oppo,Oppo A6C 4GB,4.0,128.0,6.75,0.0,13.0,5310000,https://fptshop.com.vn/dien-thoai/oppo-a6c?sku=00928864,2026-08-07T14:39:56.755610
Oppo,OPPO A6T 4GB,4.0,128.0,6.75,0.0,13.0,6380000,https://fptshop.com.vn/dien-thoai/oppo-a6t?sku=00924555,2026-08-07T14:40:04.730542
Honor,Honor X9d 5G 8GB,8.0,256.0,6.79,1.0,108.0,9790000,https://fptshop.com.vn/dien-thoai/honor-x9d?sku=00923682,2026-08-07T14:40:07.807895
Apple,iPhone 17,8.0,512.0,6.3,,,29990000,https://fptshop.com.vn/dien-thoai/iphone-17-512gb?sku=00921657,2026-08-07T14:40:10.645974
Honor,Honor X7d 5G 8GB,8.0,256.0,6.77,1.0,108.0,7290000,https://fptshop.com.vn/dien-thoai/honor-x7d-5g,2026-08-07T14:40:14.183619
Samsung,Samsung Galaxy S25 Ultra 5G,12.0,256.0,6.9,1.0,200.0,30990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-ultra-5g-512gb?sku=00914049,2026-08-07T14:40:21.759514
Xiaomi,Xiaomi Redmi Note 15 Pro 5G 12GB,12.0,256.0,6.83,1.0,,11190000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15-pro-5g?sku=00924537,2026-08-07T14:40:25.279570
Benco,Benco V91 Plus 6GB,6.0,128.0,6.56,,50.0,3190000,https://fptshop.com.vn/dien-thoai/benco-v91-plus-6gb?sku=00911627,2026-08-07T14:40:30.774022
Tecno,Tecno Pova 7 8GB,8.0,128.0,6.78,,108.0,4490000,https://fptshop.com.vn/dien-thoai/tecno-pova-7,2026-08-07T14:40:34.167799
Samsung,Samsung Galaxy S24 FE 5G,8.0,128.0,6.7,1.0,50.0,12490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s24-fe-5g?sku=00911815,2026-08-07T14:40:59.102943
Xiaomi,Xiaomi Redmi A7 3GB,3.0,64.0,6.88,,13.0,3390000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-a7?sku=00929628,2026-08-07T14:41:14.243196
REDMAGIC,REDMAGIC 11S Pro 5G 12GB,12.0,256.0,6.85,1.0,50.0,22990000,https://fptshop.com.vn/dien-thoai/redmagic-11s-pro?sku=00929707,2026-08-07T14:41:24.801319
Apple,iPhone 16e,,128.0,6.1,,,14990000,https://fptshop.com.vn/dien-thoai/iphone-16e,2026-08-07T14:41:35.321783
Samsung,Samsung Galaxy A07 8GB,8.0,256.0,6.7,,50.0,4490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a07-8gb,2026-08-07T14:41:38.296212
Tecno,Tecno Pova Curve 2 5G 8GB,8.0,128.0,6.78,1.0,50.0,9990000,https://fptshop.com.vn/dien-thoai/tecno-pova-curve-2?sku=00929246,2026-08-07T14:41:42.802807
Apple,iPhone 17e,,512.0,6.1,,,23490000,https://fptshop.com.vn/dien-thoai/iphone-17e?sku=00926265,2026-08-07T14:41:46.303589
Samsung,Samsung Galaxy A36 5G,8.0,128.0,6.7,1.0,50.0,7540000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a36,2026-08-07T14:41:51.514309
Oppo,OPPO A5i Pro 8GB,8.0,128.0,6.67,,50.0,6290000,https://fptshop.com.vn/dien-thoai/oppo-a5i-pro?sku=00920168,2026-08-07T14:42:07.206063
Oppo,OPPO A5i 6GB,6.0,128.0,6.67,,8.0,4490000,https://fptshop.com.vn/dien-thoai/oppo-a5i-6gb?sku=00920640,2026-08-07T14:42:09.789599
Tecno,Tecno Pova 7 8GB,8.0,256.0,6.78,,108.0,4890000,https://fptshop.com.vn/dien-thoai/tecno-pova-7?sku=00919827,2026-08-07T14:42:16.996384
Samsung,Samsung Galaxy S26 Ultra 5G 16GB,16.0,1024.0,6.9,1.0,50.0,41990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-ultra-16gb?sku=00925448,2026-08-07T14:42:20.262135
